File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;planrrr_bid;planrrr_uid
556;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;659316;'20190705082358;1992540;'1630000;'19201;Londenstraat;'29;';2000;Antwerpen;;'152938,76;'213476,862;;Y;NA;4;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';4;11077311;;LU;1;';';';';MDU;;;;;;Y;;;;APPART;;;;;;;N;DELETE;;;';1992540;11077311
557;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;612481;'20190705082420;108305;'1630000;'19201;Londenstraat;'31;';2000;Antwerpen;;'152941,412;'213481,476;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;Y;MODIFY;;;';1;1748866;;BU;1;';';';';;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;N;KEEP;;;';108305;1748866
558;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;612576;'20200207105131;108799;'1630000;'19201;Londenstraat;'38;';2000;Antwerpen;;'152899,377;'213425,725;;Y;NA;4;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';4;1767760;;BU;1;'1;'1;';'0;MDU;1;1;;0;;Y;#HA.GV/0/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;MODIFY;;;';108799;1767760
559;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;612576;'20200207105131;108799;'1630000;'19201;Londenstraat;'38;';2000;Antwerpen;;'152899,377;'213425,725;;Y;NA;4;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;1767371;;LU;1;'101;'101;';'1;MDU;101;101;;1;;Y;#A1/A1/PK1-KK1;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;MODIFY;;;';108799;1767371
560;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;612576;'20200207105131;108799;'1630000;'19201;Londenstraat;'38;';2000;Antwerpen;;'152899,377;'213425,725;;Y;NA;4;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;1767477;;LU;1;'201;'201;';'2;MDU;201;201;;2;;Y;#A2/A2/PK2-KK2;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;MODIFY;;;';108799;1767477
561;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;612576;'20200207105131;108799;'1630000;'19201;Londenstraat;'38;';2000;Antwerpen;;'152899,377;'213425,725;;Y;NA;4;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';3;1767570;;LU;1;'301;'301;';'3;MDU;301;301;;3;;Y;#A3/A3/PK3-KK3;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;MODIFY;;;';108799;1767570
562;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;706459;'20200207143938;4506340;'1630000;'19201;Londenstraat;'41;';2000;Antwerpen;;'152999,132;'213477,35;;N;MON;1;3;Unknown;Unknown;;None;;;;;;;Y;MODIFY;;;';1;1781227;;BU;1;';';';';;;;;;;Y;;EDUC;ONDERWIJSGEBOUW - BATIMENT D' ENSEIGNEMENT;NA;;;;;;;N;KEEP;;;';4506340;1781227
563;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;659320;'20200207144044;1992559;'1630000;'19201;Londenstraat;'43;';2000;Antwerpen;;'153022,915;'213479,534;;N;MON;5;4;Unknown;Unknown;;None;;;;;;;Y;MODIFY;;;';1;1785662;;BU;1;';';';';;;;;;;Y;;EDUC;ONDERWIJSGEBOUW - BATIMENT D' ENSEIGNEMENT;NA;;;;;;;N;KEEP;;;';1992559;1785662
564;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;659321;'20200210110654;1992561;'1630000;'19201;Londenstraat;'44;';2000;Antwerpen;;'152915,507;'213423,905;;Y;NA;4;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;1787730;;BU;1;'1;'1;';'0;MDU;1;1;;0;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;N;MODIFY;;;';1992561;1787730
565;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;659321;'20200210110654;1992561;'1630000;'19201;Londenstraat;'44;';2000;Antwerpen;;'152915,507;'213423,905;;Y;NA;4;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;1787731;;LU;1;'101;'101;';'1;MDU;101;101;;1;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;N;MODIFY;;;';1992561;1787731
566;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;659321;'20200210110654;1992561;'1630000;'19201;Londenstraat;'44;';2000;Antwerpen;;'152915,507;'213423,905;;Y;NA;4;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';3;1787732;;LU;1;'201;'201;';'2;MDU;201;201;;2;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;N;MODIFY;;;';1992561;1787732
567;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;659321;'20200210110654;1992561;'1630000;'19201;Londenstraat;'44;';2000;Antwerpen;;'152915,507;'213423,905;;Y;NA;4;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';4;1787733;;LU;1;'301;'301;';'3;MDU;301;301;;3;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;N;MODIFY;;;';1992561;1787733
568;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;659323;'20200207105834;1992566;'1630000;'19201;Londenstraat;'46;';2000;Antwerpen;;'152921,774;'213423,514;;Y;NA;3;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;1792621;;BU;1;'1;'1;';'0;MDU;1;1;;0;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;N;MODIFY;;;';1992566;1792621
569;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;659323;'20200207105834;1992566;'1630000;'19201;Londenstraat;'46;';2000;Antwerpen;;'152921,774;'213423,514;;Y;NA;3;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;1792622;;LU;1;'101;'101;';'1;MDU;101;101;;1;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;N;MODIFY;;;';1992566;1792622
570;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;659324;'20200207105931;1992570;'1630000;'19201;Londenstraat;'48;';2000;Antwerpen;;'152926,996;'213423,644;;Y;NA;4;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;1796308;;BU;1;'1;'1;';'0;MDU;1;1;;0;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;N;MODIFY;;;';1992570;1796308
571;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;659324;'20200207105931;1992570;'1630000;'19201;Londenstraat;'48;';2000;Antwerpen;;'152926,996;'213423,644;;Y;NA;4;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;1796309;;LU;1;'101;'101;';'1;MDU;101;101;;1;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;N;MODIFY;;;';1992570;1796309
572;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;659324;'20200207105931;1992570;'1630000;'19201;Londenstraat;'48;';2000;Antwerpen;;'152926,996;'213423,644;;Y;NA;4;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';3;1796310;;LU;1;'201;'201;';'2;MDU;201;201;;2;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;N;MODIFY;;;';1992570;1796310
573;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;659324;'20200207105931;1992570;'1630000;'19201;Londenstraat;'48;';2000;Antwerpen;;'152926,996;'213423,644;;Y;NA;4;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';4;11077315;;LU;1;'301;'301;';'3;MDU;301;301;;3;;Y;;;;NA;;;;;;;N;MODIFY;;;';1992570;11077315
574;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;612577;'20200210110728;108800;'1630000;'19201;Londenstraat;'50;';2000;Antwerpen;;'152932,741;'213424,036;;Y;NA;5;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';4;1805603;;BU;1;'1;'1;';'0;MDU;1;1;;0;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;N;MODIFY;;;';108800;1805603
575;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;612577;'20200210110728;108800;'1630000;'19201;Londenstraat;'50;';2000;Antwerpen;;'152932,741;'213424,036;;Y;NA;5;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;1805600;;LU;1;'101;'101;';'1;MDU;101;101;;1;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;N;MODIFY;;;';108800;1805600
576;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;612577;'20200210110728;108800;'1630000;'19201;Londenstraat;'50;';2000;Antwerpen;;'152932,741;'213424,036;;Y;NA;5;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;1805601;;LU;1;'201;'201;';'2;MDU;201;201;;2;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;N;MODIFY;;;';108800;1805601
577;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;612577;'20200210110728;108800;'1630000;'19201;Londenstraat;'50;';2000;Antwerpen;;'152932,741;'213424,036;;Y;NA;5;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';3;1805602;;LU;1;'301;'301;';'3;MDU;301;301;;3;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;N;MODIFY;;;';108800;1805602
578;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;612577;'20200210110728;108800;'1630000;'19201;Londenstraat;'50;';2000;Antwerpen;;'152932,741;'213424,036;;Y;NA;5;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';5;11077318;;LU;1;'401;'401;';'4;MDU;401;401;;4;;Y;;;;NA;;;;;;;N;MODIFY;;;';108800;11077318
579;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;612578;'20200210110801;108801;'1630000;'19201;Londenstraat;'52;';2000;Antwerpen;;'152980,312;'213421,722;;N;MON;4;12;Unknown;Unknown;;None;;;;;;;Y;MODIFY;;;';1;1809164;;BU;1;';';';';;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;N;KEEP;;;';108801;1809164
580;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093666;'20191004142314;1992472;'1630000;'19201;Londenstraat;'3;';2000;Antwerpen;;'152871,558;'213506,724;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;Y;MODIFY;;;';1;1739947;;BU;1;';';';';;;;;;;Y;#HA.GV.1/A/K;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;COMM;;;;;;;N;KEEP;;;';1992472;1739947
581;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093703;'20190705082425;4506376;'1630000;'19201;Londenstraat;'15;';2000;Antwerpen;;'152897,258;'213493,164;;Y;NA;1;4;Unknown;Unknown;;None;;;;;;;Y;MODIFY;;;';1;10364958;;BU;1;';';';';;;;;;;Y;;INDU;NIJVERHEIDSGEBOUW - ENTREPRISE INDUSTRIELLE;NA;;;;;;;N;KEEP;;;';4506376;10364958
582;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093667;'20191004142314;1992508;'1630000;'19201;Londenstraat;'21;';2000;Antwerpen;;'152908,967;'213488,738;;Y;NA;5;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';4;11077321;;BU;1;'1;'1;';'0;MDU;1;1;;0;;Y;;;;NA;;;;;;;N;MODIFY;;;';1992508;11077321
583;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093667;'20191004142314;1992508;'1630000;'19201;Londenstraat;'21;';2000;Antwerpen;;'152908,967;'213488,738;;Y;NA;5;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;10362910;;LU;1;'11;'101;';'1;MDU;11;101;;1;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;N;MODIFY;;;';1992508;10362910
584;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093667;'20191004142314;1992508;'1630000;'19201;Londenstraat;'21;';2000;Antwerpen;;'152908,967;'213488,738;;Y;NA;5;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;10362911;;LU;1;'21;'201;';'2;MDU;21;201;;2;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;N;MODIFY;;;';1992508;10362911
585;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093667;'20191004142314;1992508;'1630000;'19201;Londenstraat;'21;';2000;Antwerpen;;'152908,967;'213488,738;;Y;NA;5;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';3;10362912;;LU;1;'31;'301;';'3;MDU;31;301;;3;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;N;MODIFY;;;';1992508;10362912
586;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093667;'20191004142314;1992508;'1630000;'19201;Londenstraat;'21;';2000;Antwerpen;;'152908,967;'213488,738;;Y;NA;5;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';5;11077322;;SU;1;'SU1;'SU1;';'0;MDU;SU1;SU1;;0;;Y;;;;NA;;;;;;;N;MODIFY;;;';1992508;11077322
587;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093668;'20200207144114;1992564;'1630000;'19201;Londenstraat;'45;';2000;Antwerpen;;'153045,83;'213479,453;;Y;NA;1;3;Unknown;Unknown;;None;;;;;;;Y;MODIFY;;;';1;1789162;;BU;1;';';';';;;;;;;Y;#RES.997-A1/APP.A1/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;N;KEEP;;;';1992564;1789162
588;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093642;'20200207144231;1294704;'1630000;'19201;Londenstraat;'47;';2000;Antwerpen;;'153051,518;'213479,534;;Y;NA;5;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;10416990;;LU;1;'11;'101;';'1;MDU;11;101;;1;;Y;#RES.997-A2/APP.A4/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;N;MODIFY;;;';1294704;10416990
589;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093642;'20200207144231;1294704;'1630000;'19201;Londenstraat;'47;';2000;Antwerpen;;'153051,518;'213479,534;;Y;NA;5;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;11078174;;LU;1;'12;'102;';'1;MDU;12;102;;1;;;;;;;;;;;;;N;MODIFY;;;';1294704;11078174
590;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093642;'20200207144231;1294704;'1630000;'19201;Londenstraat;'47;';2000;Antwerpen;;'153051,518;'213479,534;;Y;NA;5;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';3;11078175;;LU;1;'21;'201;';'2;MDU;21;201;;2;;;;;;;;;;;;;N;MODIFY;;;';1294704;11078175
591;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093642;'20200207144231;1294704;'1630000;'19201;Londenstraat;'47;';2000;Antwerpen;;'153051,518;'213479,534;;Y;NA;5;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';4;11078176;;LU;1;'22;'202;';'2;MDU;22;202;;2;;;;;;;;;;;;;N;MODIFY;;;';1294704;11078176
592;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093642;'20200207144231;1294704;'1630000;'19201;Londenstraat;'47;';2000;Antwerpen;;'153051,518;'213479,534;;Y;NA;5;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';5;11078177;;LU;1;'31;'301;';'3;MDU;31;301;;3;;;;;;;;;;;;;N;MODIFY;;;';1294704;11078177
593;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093642;'20200207144231;1294704;'1630000;'19201;Londenstraat;'47;';2000;Antwerpen;;'153051,518;'213479,534;;Y;NA;5;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';6;11078178;;LU;1;'32;'302;';'3;MDU;32;302;;3;;;;;;;;;;;;;N;MODIFY;;;';1294704;11078178
594;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093642;'20200207144231;1294704;'1630000;'19201;Londenstraat;'47;';2000;Antwerpen;;'153051,518;'213479,534;;Y;NA;5;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';7;11078179;;LU;1;'41;'401;';'4;MDU;41;401;;4;;;;;;;;;;;;;N;MODIFY;;;';1294704;11078179
595;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093642;'20200207144231;1294704;'1630000;'19201;Londenstraat;'47;';2000;Antwerpen;;'153051,518;'213479,534;;Y;NA;5;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';8;11078180;;LU;1;'42;'402;';'4;MDU;42;402;;4;;;;;;;;;;;;;N;MODIFY;;;';1294704;11078180
596;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093723;'20200107162725;5906909;'1630000;'19201;Londenstraat;'56;';2000;Antwerpen;;'153010,801;'213425,639;;N;IRREG;2;6;Unknown;Unknown;;None;;;;;;;Y;MODIFY;;;';1;10416765;;BU;1;';';';';;;;;;;Y;#BU.GV@4/K2/K.OG1;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;OFFICE;;;;;;;N;KEEP;;;';5906909;10416765
597;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;11196665;'20191004142318;108798;'1630000;'19201;Londenstraat;'36;';2000;Antwerpen;;'152870,594;'213428,083;;Y;NA;3;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;11076606;;BU;1;'1;'1;';'0;MDU;1;1;;0;;;;;;;;;;;;;N;MODIFY;;;';108798;11076606
598;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;11196665;'20191004142318;108798;'1630000;'19201;Londenstraat;'36;';2000;Antwerpen;;'152870,594;'213428,083;;Y;NA;3;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;11076607;;LU;1;'101;'101;';'1;MDU;101;101;;1;;;;;;;;;;;;;N;MODIFY;;;';108798;11076607
599;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;11196665;'20191004142318;108798;'1630000;'19201;Londenstraat;'36;';2000;Antwerpen;;'152870,594;'213428,083;;Y;NA;3;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';3;11076608;;LU;1;'201;'201;';'2;MDU;201;201;;2;;;;;;;;;;;;;N;MODIFY;;;';108798;11076608
600;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;11196666;'20191004142318;4081990;'1630000;'19201;Londenstraat;'22;';2000;Antwerpen;;'152834;'213427;;Y;NA;5;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';;;;BU;1;'20;'1;';'0;MDU;20;1;;0;;;;;;;;;;;;;N;NEW;;;';4081990;
601;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;11196666;'20191004142318;4081990;'1630000;'19201;Londenstraat;'22;';2000;Antwerpen;;'152834;'213427;;Y;NA;5;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';;;;BU;1;'1;'101;';'1;MDU;1;101;;1;;;;;;;;;;;;;N;NEW;;;';4081990;
602;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;11196666;'20191004142318;4081990;'1630000;'19201;Londenstraat;'22;';2000;Antwerpen;;'152834;'213427;;Y;NA;5;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;11076611;;LU;1;'12;'102;';'1;MDU;12;102;;1;;;;;;;;;;;;;N;MODIFY;;;';4081990;11076611
603;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;11196666;'20191004142318;4081990;'1630000;'19201;Londenstraat;'22;';2000;Antwerpen;;'152834;'213427;;Y;NA;5;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;11076612;;LU;1;'21;'201;';'2;MDU;21;201;;2;;;;;;;;;;;;;N;MODIFY;;;';4081990;11076612
